Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
gezellig eten met kinderen,Commercial,20,"0.49,0.49,0.49,0.49,1.00,0.49,0.49,0.49,0.49,0.49,0.49,0.49",12,0.00,"Reviews, Image, Image pack, People also ask, Local pack, Related searches"
groente verstoppen,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",10,0.00,"AI Overview, People also ask, Recipes, Related searches"
groente verstoppen in eten,Informational,20,"1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",13,0.00,"Image, People also ask, Recipes, Related searches"
moeilijke eter peuter,Informational,20,"0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00",16,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
peuter eet geen fruit,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",22,0.00,"Sitelinks, People also ask, Related searches, Ads top, Ads bottom"
verstopte groenten,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
wat heb je vandaag gegeten,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
kind weigert te eten,,10,"0.33,0.33,0.33,0.33,0.33,0.33,0.66,1.00,0.66,0.66,0.33,0.33",,0.00,
groente verstoppen kind,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind dwingen te eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet alleen brood,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet bijna niets,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet geen fruit,,0,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet geen groente en fruit,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",,0.00,
kind wil geen fruit eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
lastige eter,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
regels aan tafel kinderen,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
samen eten met kinderen,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
