Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
peuter wil niet eten,Informational,170,"0.63,1.00,1.00,0.83,0.83,1.00,1.00,1.00,1.00,0.83,1.00,0.83",12,0.55,"AI Overview, Video, People also ask, Related searches"
leren lusten plan,"Informational, Transactional",50,"0.71,0.57,0.42,0.57,1.00,1.00,0.71,1.00,1.00,1.00,0.57,0.42",15,0.00,"Image pack, Video, Related searches"
moeilijke eter,Informational,50,"0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,1.00",8,0.00,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
peuter eet geen groente,Informational,50,"0.29,0.71,0.71,0.57,0.71,0.57,0.29,1.00,1.00,0.71,1.00,0.71",8,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
dreumes eet geen groente,Informational,30,"0.73,0.73,0.47,0.73,0.47,0.47,1.00,0.47,0.47,0.47,0.47,0.47",7,0.00,"AI Overview, Video, People also ask, Related searches"
kind eet geen groente,,30,"0.80,0.20,0.20,0.60,0.40,0.80,1.00,0.60,0.40,0.40,0.60,0.40",,0.00,
voedselneofobie,,30,"0.40,0.40,0.40,0.40,0.60,0.40,1.00,0.80,0.80,0.40,0.40,0.60",,0.00,
beloningskaart eten,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
gezellig eten met kinderen,,20,"0.49,0.49,0.49,0.49,1.00,0.49,0.49,0.49,0.49,0.49,0.49,0.49",,0.00,
groente verstoppen,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
groente verstoppen in eten,,20,"1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
kieskeurige eter,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
moeilijke eter peuter,,20,"0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00",,0.00,
peuter eet geen fruit,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
peuter groente laten eten,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
peuter wil geen groente eten,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
verstopte groenten,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
wat heb je vandaag gegeten,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
wat is voedselneofobie,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
kind weigert te eten,,10,"0.33,0.33,0.33,0.33,0.33,0.33,0.66,1.00,0.66,0.66,0.33,0.33",,0.00,
kind wil geen groente eten,,10,"0.50,0.00,0.00,1.00,0.50,0.50,1.00,0.50,0.50,0.50,0.00,0.50",,0.00,
beloningssysteem kind eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
groente verstoppen kind,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
hoe vaak moet een kind iets proeven,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind dwingen te eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet alleen brood,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet bijna niets,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet geen fruit,,0,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind eet geen groente en fruit,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",,0.00,
kind groente laten eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind lust geen groente,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind lust niets,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind wil geen fruit eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kind wil niet proeven,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
kleuter eet geen groente,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
lastige eter,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
moeilijke eter kind,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
regels aan tafel kinderen,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
samen eten met kinderen,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
smaakontwikkeling kind,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
tips kind groente eten,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
toetje als beloning,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
