"cluster (first pass, picky-eater group still mixed)",keyword,volume,kd,intent,serp_features,seed
H/P pillar: kids and vegetables,how to get kids to eat vegetables,720,27,Informational,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",kids-vegetables
H/P pillar: kids and vegetables,vegetables for kids,720,17,Informational,"AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Popular products",kids-vegetables
H/P pillar: kids and vegetables,vegetables kids will eat,390,13,Informational,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",kids-vegetables
H/P pillar: kids and vegetables,why do kids hate vegetables,90,17,Informational,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",kids-vegetables
H/P pillar: kids and vegetables,why do kids not like vegetables,70,5,Informational,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",kids-vegetables
H/P pillar: kids and vegetables,why don't kids like vegetables,40,,,,kids-vegetables
H/P pillar: kids and vegetables,vegetable for kids,30,,,,kids-vegetables
H/P pillar: kids and vegetables,best vegetables for kids to eat,10,,,,kids-vegetables
H/P pillar: kids and vegetables,best way to get kids to eat vegetables,10,,,,kids-vegetables
H/P pillar: kids and vegetables,how to get kids to eat more vegetables,10,,,,kids-vegetables
H/P pillar: kids and vegetables,how to make kids eat vegetables,10,,,,kids-vegetables
H/P pillar: kids and vegetables,kid won't eat vegetables,10,,,,kids-vegetables
H/P pillar: kids and vegetables,vegetables that kids will eat,10,,,,kids-vegetables
H/P pillar: kids and vegetables,ways to get kids to eat vegetables,10,,,,kids-vegetables
C4a toddler + vegetables,toddler won't eat vegetables,20,,,,toddler-won
C4b toddler/child won't eat (general),toddler won't eat,480,37,Informational,"AI Overview, Video, People also ask, Related searches",toddler-won
C4b toddler/child won't eat (general),my toddler won't eat,210,49,Informational,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",toddler-won
C4b toddler/child won't eat (general),toddler won't eat anything,70,25,Informational,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",toddler-won
C4b toddler/child won't eat (general),my toddler won't eat anything,40,29,Informational,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",toddler-won
C4b toddler/child won't eat (general),what to do when toddler won't eat,20,,,,toddler-won
C4b toddler/child won't eat (general),what to do when your toddler won't eat,10,,,,toddler-won
C5 fussy / picky eater,picky eater,5400,52,"Informational, Commercial","AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches, Things to know",picky-eater
C5 fussy / picky eater,picky eater list,1000,20,Informational,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches",picky-eater
C5 fussy / picky eater,food for picky eater,880,19,Informational,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",picky-eater
C5 fussy / picky eater,picky eating,720,51,Informational,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle",picky-eater
C5 fussy / picky eater,picky eater food list,590,16,Informational,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",picky-eater
C5 fussy / picky eater,picky eater foods,590,32,Informational,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",picky-eater
C5 fussy / picky eater,dw the picky eater,480,27,Informational,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, See results about",picky-eater
C5 fussy / picky eater,what is a picky eater,480,24,Informational,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",picky-eater
C5 fussy / picky eater,picky eater icd 10,390,23,Informational,"AI Overview, Video, People also ask, Related searches",picky-eater
C5 fussy / picky eater,picky eating syndrome,390,34,Informational,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",picky-eater
C5 fussy / picky eater,picky eater chart,320,16,Informational,"Image, Image pack, Video, People also ask, Related searches",picky-eater
