cluster,keyword,volume,kd,intent,serp_features,seed
H/P pillar: verdure e bambini,come far mangiare le verdure ai bambini,260,14,Informational,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",bambini-verdure
H/P pillar: verdure e bambini,verdure per bambini,210,13,Informational,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",bambini-verdure
H/P pillar: verdure e bambini,verdure bambini,40,,,,bambini-verdure
H/P pillar: verdure e bambini,bambini che non mangiano verdure conseguenze,30,,,,bambino-non-mangia
H/P pillar: verdure e bambini,come fare mangiare le verdure ai bambini,30,,,,bambini-verdure
H/P pillar: verdure e bambini,contorni per bambini che non mangiano verdure,20,,,,bambino-non-mangia
H/P pillar: verdure e bambini,come far mangiare verdure ai bambini,20,,,,bambini-verdure
H/P pillar: verdure e bambini,perche i bambini non mangiano le verdure,10,,,,bambino-non-mangia
H/P pillar: verdure e bambini,come far mangiare la verdura ai bambini,10,,,,bambini-verdure
H/P pillar: verdure e bambini,come nascondere le verdure ai bambini,10,,,,bambini-verdure
H/P pillar: verdure e bambini,far mangiare le verdure ai bambini,10,,,,bambini-verdure
H/P pillar: verdure e bambini,far mangiare verdure ai bambini,10,,,,bambini-verdure
H/P pillar: verdure e bambini,trucchi per far mangiare le verdure ai bambini,10,,,,bambini-verdure
H/P pillar: verdure e bambini,verdura per bambini,10,,,,bambini-verdure
C4b bambino non mangia (general),bambino non mangia psicologia,480,9,Informational,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",bambino-non-mangia
C4b bambino non mangia (general),bambino 2 anni non mangia più,260,14,Informational,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",bambino-non-mangia
C4b bambino non mangia (general),bambini che non mangiano,210,16,Informational,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",bambino-non-mangia
C4b bambino non mangia (general),bambino 4 anni non mangia niente,90,13,Informational,"AI Overview, Video, Video carousel, People also ask, Related searches",bambino-non-mangia
C4b bambino non mangia (general),bambino che non mangia,70,14,Informational,"AI Overview, Video, Video carousel, People also ask, Related searches",bambino-non-mangia
C4b bambino non mangia (general),bambino 2 anni non mangia forum,50,,,,bambino-non-mangia
